 Tokyo ; Japan
 Tandil,; Argentina,
 San Antonio,; Chile,
 Maumere,; Indonesia,
 Albury,; Australia,
 Abengourou,; Côte DIvoire,
 Kiselëvsk,; Russia,
 Kroonstad,; South Africa,
 Ed Damer,; Sudan,
 Dolisie,; Congo, 
 Kilinochchi,; Sri Lanka,
 Ahar,; Iran,
 Biak,; Indonesia,
 Konotop,; Ukraine,
 Prabumulih,; Indonesia,
 Heroica Guaymas,; Mexico,
 Parral,; Mexico,
 Velikiye Luki,; Russia,
 Palma Soriano,; Cuba,
 Pedro Juan Caballero,; Paraguay,
 Pakxé,; Laos,
 Roxas City,; Philippines,
 Lower Hutt,; New Zealand,
 Houzhuang,; China,
 Ukhta,; Russia,
 Liberec,; Czechia,
 Bethal,; South Africa,
 Bontang,; Indonesia,
 Teluk Intan,; Malaysia,
 Dera Ismail Khan,; Pakistan,
 Kansk,; Russia,
 Sarapul,; Russia,
 Maladzyechna,; Belarus,
 Olomouc,; Czechia,
 Barretos,; Brazil,
 Teófilo Otoni,; Brazil,
 Duitama,; Colombia,
 Vanadzor,; Armenia,
 Tartu,; Estonia,
 Novara,; Italy,
 Oum el Bouaghi,; Algeria,
 Solikamsk,; Russia,
 Glazov,; Russia,
 Ancona,; Italy,
 Bukoba,; Tanzania,
 Kpalimé,; Togo,
 Sakata,; Japan,
 Magangué,; Colombia,
 Lida,; Belarus,
 Subotica,; Serbia,
 Chanthaburi,; Thailand,
 Tumen,; China,
 Galle,; Sri Lanka,
 Ciudad Choluteca,; Honduras,
 Thika,; Kenya,
 Giresun,; Turkey,
 Kericho,; Kenya,
 Lahti,; Finland,
 Passos,; Brazil,
 Örebro,; Sweden,
 Apatzingan de la Constitucion,; Mexico,
 Jyväskylä,; Finland,
 Ciudad de Atlixco,; Mexico,
 Ubá,; Brazil,
 Ozamiz City,; Philippines,
 Ourinhos,; Brazil,
 Slavonski Brod,; Croatia,
 Mangochi,; Malawi,
 Ariana,; Tunisia,
 Trindade,; Brazil,
 Arapongas,; Brazil,
 Türkistan,; Kazakhstan,
 Târgu Jiu,; Romania,
 Guasave,; Mexico,
 Shostka,; Ukraine,
 Bunia,; Congo, 
 Linköping,; Sweden,
 Schwerin,; Germany,
 Bolu,; Turkey,
 Mtwara,; Tanzania,
 Araguari,; Brazil,
 Yên Bái,; Vietnam,
 Corumbá,; Brazil,
 Half Way Tree,; Jamaica,
 Sliven,; Bulgaria,
 Erechim,; Brazil,
 Yola,; Nigeria,
 Mekele,; Ethiopia,
 Kuznetsk,; Russia,
 Guliston,; Uzbekistan,
 Magadan,; Russia,
 Catanzaro,; Italy,
 Hradec Králové,; Czechia,
 Juazeiro,; Brazil,
 Osijek,; Croatia,
 Al ‘Aqabah,; Jordan,
 Latacunga,; Ecuador,
 Dobrich,; Bulgaria,
 Prešov,; Slovakia,
 Bento Gonçalves,; Brazil,
 Al Fujayrah,; United Arab Emirates,
 Lagos de Moreno,; Mexico,
 Yishui,; China,
 Ústí nad Labem,; Czechia,
 Malindi,; Kenya,
 Tatuí,; Brazil,
 Michurinsk,; Russia,
 Dalai,; China,
 Bath,; United Kingdom,
 Darwin,; Australia,
 Nouméa,; New Caledonia
 Quibdó,; Colombia,
 Patos,; Brazil,
 Tulcea,; Romania,
 Santiago de Compostela,; Spain,
 Tubarão,; Brazil,
 Calais,; France,
 Ciudad Guzmán,; Mexico,
 Kohima,; India,
 Kuopio,; Finland,
 Kilosa,; Tanzania,
 Cabinda,; Angola,
 Tecomán,; Mexico,
 Helsingborg,; Sweden,
 Muriaé,; Brazil,
 Cuauhtémoc,; Mexico,
 Drammen,; Norway,
 Moncton,; Canada,
 Klagenfurt,; Austria,
 Phetchaburi,; Thailand,
 Itanhaém,; Brazil,
 Barahona,; Dominican Republic,
 Buea,; Cameroon,
 Limerick,; Ireland,
 Francistown,; Botswana,
 Jönköping,; Sweden,
 Santana do Livramento,; Brazil,
 Vlorë,; Albania,
 Chester,; United Kingdom,
 Fujin,; China,
 Tambacounda,; Senegal,
 Sumbawanga,; Tanzania,
 Wangqing,; China,
 Brovary,; Ukraine,
 Nova Lima,; Brazil,
 Taldyqorghan,; Kazakhstan,
 Brusque,; Brazil,
 Coronel Oviedo,; Paraguay,
 Yozgat,; Turkey,
 Ath Thawrah,; Syria,
 Ébolowa,; Cameroon,
 Surigao,; Philippines,
 Çanakkale,; Turkey,
 San Juan de los Morros,; Venezuela,
 Makeni,; Sierra Leone,
 Žilina,; Slovakia,
 Assis,; Brazil,
 Koudougou,; Burkina Faso,
 Shumen,; Bulgaria,
 Mishan,; China,
 Nenjiang,; China,
 Lokossa,; Benin,
 Huaraz,; Peru,
 Nouadhibou,; Mauritania,
 Ruhengeri,; Rwanda,
 Bitola,; Macedonia,
 Ioánnina,; Greece,
 Agua Prieta,; Mexico,
 Huehuetenango,; Guatemala,
 Chipata,; Zambia,
 Poitiers,; France,
 Río Gallegos,; Argentina,
 Chumphon,; Thailand,
 Versailles,; France,
 Paulo Afonso,; Brazil,
 Ituiutaba,; Brazil,
 Cáceres,; Brazil,
 Louga,; Senegal,
 Puerto Limón,; Costa Rica,
 Lorient,; France,
 Savannakhet,; Laos,
 Santana,; Brazil,
 Mbarara,; Uganda,
 Peterborough,; Canada,
 Gisenyi,; Rwanda,
 Ouidah,; Benin,
 Codó,; Brazil,
 Kampong Cham,; Cambodia,
 Tulcán,; Ecuador,
 Amasya,; Turkey,
 Araxá,; Brazil,
 Nan,; Thailand,
 Pernik,; Bulgaria,
 Cukai,; Malaysia,
 Palmerston North,; New Zealand,
 Chimaltenango,; Guatemala,
 Banská Bystrica,; Slovakia,
 Kilis,; Turkey,
 Fier,; Albania,
 Bolgatanga,; Ghana,
 Abomey,; Benin,
 Kasserine,; Tunisia,
 Kaspiysk,; Russia,
 Sokhumi,; Georgia,
 Lavras,; Brazil,
 Avaré,; Brazil,
 Formosa,; Brazil,
 Pisco,; Peru,
 Salina Cruz,; Mexico,
 Zomba,; Malawi,
 Natitingou,; Benin,
 Hobart,; Australia,
 Atakpamé,; Togo,
 Bingöl,; Turkey,
 Huacho,; Peru,
 Kilifi,; Kenya,
 Al Karak,; Jordan,
 Nabatîyé,; Lebanon,
 Ciudad Mante,; Mexico,
 Prachin Buri,; Thailand,
 Haskovo,; Bulgaria,
 Erdenet,; Mongolia,
 Itumbiara,; Brazil,
 Ouahigouya,; Burkina Faso,
 Abaetetuba,; Brazil,
 Paysandú,; Uruguay,
 Slatina,; Romania,
 Shulan,; China,
 Sagaing,; Burma,
 Chaniá,; Greece,
 Três Lagoas,; Brazil,
 Biel/Bienne,; Switzerland,
 Ciudad de Ceuta,; Spain,
 São João del Rei,; Brazil,
 Umeå,; Sweden,
 Zahlé,; Lebanon,
 Wa,; Ghana,
 Gangtok,; India,
 Hakkari,; Turkey,
 Kars,; Turkey,
 Itaúna,; Brazil,
 Kayes,; Mali,
 San Carlos,; Venezuela,
 São Mateus,; Brazil,
 Caguas,; Puerto Rico,
 La Rochelle,; France,
 Thakhèk,; Laos,
 Pori,; Finland,
 San Felipe,; Venezuela,
 Uttaradit,; Thailand,
 Jataí,; Brazil,
 São João da Boa Vista,; Brazil,
 Tucuruí,; Brazil,
 Masvingo,; Zimbabwe,
 Babahoyo,; Ecuador,
 Sakon Nakhon,; Thailand,
 Birobidzhan,; Russia,
 Tamanrasset,; Algeria,
 Buynaksk,; Russia,
 Galway,; Ireland,
 Kampong Chhnang,; Cambodia,
 Cachoeira do Sul,; Brazil,
 Greenock,; United Kingdom,
 Toledo,; Spain,
 Manokwari,; Indonesia,
 Shancheng,; China,
 Karlstad,; Sweden,
 Prey Veng,; Cambodia,
 Cozumel,; Mexico,
 Kiffa,; Mauritania,
 Mpanda,; Tanzania,
 Skien,; Norway,
 Roanne,; France,
 San Juan,; Dominican Republic,
 Dabou,; Côte DIvoire,
 Tamazunchale,; Mexico,
 Georgiyevsk,; Russia,
 Carlisle,; United Kingdom,
 Bacabal,; Brazil,
 Esbjerg,; Denmark,
 Nizwá,; Oman,
 Vratsa,; Bulgaria,
 Pôrto União,; Brazil,
 Goiana,; Brazil,
 Monastir,; Tunisia,
 Upington,; South Africa,
 Mardin,; Turkey,
 Zadar,; Croatia,
 Ijuí,; Brazil,
 Anlu,; China,
 Salima,; Malawi,
 Mamou,; Guinea,
 Comayagua,; Honduras,
 Muyinga,; Burundi,
 Altamira,; Brazil,
 Guaynabo,; Puerto Rico,
 Saraburi,; Thailand,
 Paracatu,; Brazil,
 Mindelo,; Cabo Verde,
 Byumba,; Rwanda,
 Sankt Gallen,; Switzerland,
 Scarborough,; United Kingdom,
 Tatabánya,; Hungary,
 Kastamonu,; Turkey,
 Iguatu,; Brazil,
 Sunyani,; Ghana,
 Karakol,; Kyrgyzstan,
 Lisala,; Congo, 
 Lobatse,; Botswana,
 Trnava,; Slovakia,
 Totonicapán,; Guatemala,
 Ouezzane,; Morocco,
 Rioverde,; Mexico,
 Tuy Hòa,; Vietnam,
 Jabuticabal,; Brazil,
 Kolda,; Senegal,
 Arauca,; Colombia,
 Vaslui,; Romania,
 Azogues,; Ecuador,
 Giurgiu,; Romania,
 Potenza,; Italy,
 Ayr,; United Kingdom,
 Timbuktu,; Mali,
 Gävle,; Sweden,
 Matara,; Sri Lanka,
 Narathiwat,; Thailand,
 Artemisa,; Cuba,
 Balsas,; Brazil,
 Putrajaya,; Malaysia,
 Calbayog City,; Philippines,
 Garissa,; Kenya,
 Khanty-Mansiysk,; Russia,
 Matehuala,; Mexico,
 Juchitán de Zaragoza,; Mexico,
 Santa Inês,; Brazil,
 El Bayadh,; Algeria,
 Dimbokro,; Côte DIvoire,
 Kasese,; Uganda,
 Jelgava,; Latvia,
 Lào Cai,; Vietnam,
 Puerto Maldonado,; Peru,
 Mbaïki,; Central African Republic,
 Jáltipan de Morelos,; Mexico,
 Burdur,; Turkey,
 Alba Iulia,; Romania,
 Panaji,; India,
 Santo Ângelo,; Brazil,
 Masaka,; Uganda,
 Debre Birhan,; Ethiopia,
 Békéscsaba,; Hungary,
 Cobán,; Guatemala,
 Solwezi,; Zambia,
 ??ki,; Azerbaijan,
 Gurupi,; Brazil,
 Mazatenango,; Guatemala,
 Parintins,; Brazil,
 Arras,; France,
 Ciudad Hidalgo,; Mexico,
 Zrenjanin,; Serbia,
 Curvelo,; Brazil,
 Kangar,; Malaysia,
 Ramla,; Israel,
 Kristiansand,; Norway,
 Caçador,; Brazil,
 Kanchanaburi,; Thailand,
 Irecê,; Brazil,
 Catalão,; Brazil,
 Samut Sakhon,; Thailand,
 Kakamega,; Kenya,
 Cahul,; Moldova,
 Molepolole,; Botswana,
 Valença,; Brazil,
 Vilhena,; Brazil,
 Bossangoa,; Central African Republic,
 Belize, City,; Belize,
 Itapeva,; Brazil,
 Beledweyne,; Somalia,
 Graaff-Reinet,; South Africa,
 Bitlis,; Turkey,
 Guamúchil,; Mexico,
 Tataouine,; Tunisia,
 Surin,; Thailand,
 Singida,; Tanzania,
 Assen,; Netherlands,
 Bambari,; Central African Republic,
 Tupã,; Brazil,
 Veszprém,; Hungary,
 Madang,; Papua New Guinea,
 Zalaegerszeg,; Hungary,
 Berbérati,; Central African Republic,
 Chinhoyi,; Zimbabwe,
 Medenine,; Tunisia,
 Troyes,; France,
 Cayenne,; French Guiana
 Ponta Delgada,; Portugal,
 Jianguang,; China,
 Portimão,; Portugal,
 Gaalkacyo,; Somalia,
 Yopal,; Colombia,
 Cherbourg,; France,
 Canela,; Brazil,
 Sfântu-Gheorghe,; Romania,
 Lokoja,; Nigeria,
 Piraçununga,; Brazil,
 Banfora,; Burkina Faso,
 Mbanza Congo,,; Angola,
 Pirapora,; Brazil,
 Caratinga,; Brazil,
 Uíge,; Angola,
 Gorno-Altaysk,; Russia,
 Nkhotakota,; Malawi,
 Itapetinga,; Brazil,
 São Borja,; Brazil,
 Växjö,; Sweden,
 Leticia,; Colombia,
 Béja,; Tunisia,
 Drummondville,; Canada,
 Caràzinho,; Brazil,
 Santa Rosa,; Brazil,
 Lappeenranta,; Finland,
 Azua,; Dominican Republic,
 Viedma,; Argentina,
 Concepción,; Paraguay,
 Manacapuru,; Brazil,
 Mount Hagen,; Papua New Guinea,
 Kabinda,; Congo, 
 Telêmaco Borba,; Brazil,
 Guanambi,; Brazil,
 Kamphaeng Phet,; Thailand,
 Embu,; Kenya,
 Chaiyaphum,; Thailand,
 Bondoukou,; Côte DIvoire,
 Korçë,; Albania,
 San Andrés,; Colombia,
 Agen,; France,
 Rundu,; Namibia,
 Ariquemes,; Brazil,
 Ushuaia,; Argentina,
 Napier,; New Zealand,
 Suileng,; China,
 Lop Buri,; Thailand,
 Linares,; Mexico,
 Timbaúba,; Brazil,
 Picos,; Brazil,
 Arcoverde,; Brazil,
 Bragança,; Brazil,
 Al Mafraq,; Jordan,
 Puntarenas,; Costa Rica,
 Mafeteng,; Lesotho,
 Vaasa,; Finland,
 Ródos,; Greece,
 Adrar,; Algeria,
 Kitgum,; Uganda,
 Serrinha,; Brazil,
 Jijiga,; Ethiopia,
 Vacaria,; Brazil,
 Eger,; Hungary,
 Puerto Barrios,; Guatemala,
 Janaúba,; Brazil,
 Kaga Bandoro,; Central African Republic,
 Magong,; Taiwan,
 Formiga,; Brazil,
 Zouerate,; Mauritania,
 Bungoma,; Kenya,
 Lautoka,; Fiji,
 Itapipoca,; Brazil,
 Halmstad,; Sweden,
 Estância,; Brazil,
 Évora,; Portugal,
 Melo,; Uruguay,
 Maldonado,; Uruguay,
 São Gabriel,; Brazil,
 Nakhon Phanom,; Thailand,
 São José de Ribamar,; Brazil,
 Abancay,; Peru,
 Kalasin,; Thailand,
 Murzuq,; Libya,
 Karlovac,; Croatia,
 Caicó,; Brazil,
 Tarbes,; France,
 Nuevo Casas Grandes,; Mexico,
 Juigalpa,; Nicaragua,
 Moquegua,; Peru,
 Ajaccio,; France,
 Tacuarembó,; Uruguay,
 Aveiro,; Portugal,
 Jihlava,; Czechia,
 Yevlax,; Azerbaijan,
 San Pedro,; Mexico,
 Suphan Buri,; Thailand,
 Joensuu,; Finland,
 Coari,; Brazil,
 Registro,; Brazil,
 Saint-Brieuc,; France,
 Taxco de Alarcón,; Mexico,
 Camaquã,; Brazil,
 Veliko Tarnovo,; Bulgaria,
 Arrecife,; Spain,
 Crateús,; Brazil,
 Slobozia,; Romania,
 Mongu,; Zambia,
 Puerto Ayacucho,; Venezuela,
 Pursat,; Cambodia,
 Tromsø,; Norway,
 Mérida,; Spain,
 Andradina,; Brazil,
 Barra do Garças,; Brazil,
 Fredericton,; Canada,
 Naryn,; Kyrgyzstan,
 Whangarei,; New Zealand,
 Batatais,; Brazil,
 Chilliwack,; Canada,
 Usulután,; El Salvador,
 Maha Sarakham,; Thailand,
 Tucupita,; Venezuela,
 Itacoatiara,; Brazil,
 Jendouba,; Tunisia,
 Vejle,; Denmark,
 Séguéla,; Côte DIvoire,
 Nyeri,; Kenya,
 Jinotega,; Nicaragua,
 Kyustendil,; Bulgaria,
 Campobasso,; Italy,
 Jutiapa,; Guatemala,
 Phetchabun,; Thailand,
 Gbadolite,; Congo, 
 Araguaína,; Brazil,
 Trujillo,; Venezuela,
 Sisophon,; Cambodia,
 Kampot,; Cambodia,
 Hpa-An,; Burma,
 Chake Chake,; Tanzania,
 Maun,; Botswana,
 Kanash,; Russia,
 Odienné,; Côte DIvoire,
 Zaranj,; Afghanistan,
 Dosso,; Niger,
 Chachoengsao,; Thailand,
 Vryburg,; South Africa,
 Morshansk,; Russia,
 Alexandria,; Romania,
 Quixadá,; Brazil,
 Waterford,; Ireland,
 Invercargill,; New Zealand,
 Shawinigan,; Canada,
 Larnaca,; Cyprus,
 Barra do Corda,; Brazil,
 Cornwall,; Canada,
 Luleå,; Sweden,
 Songkhla,; Thailand,
 Floriano,; Brazil,
 Serowe,; Botswana,
 Vigan,; Philippines,
 Valladolid,; Mexico,
 Senhor do Bonfim,; Brazil,
 Cojutepeque,; El Salvador,
 Rio Verde,; Brazil,
 Mao,; Dominican Republic,
 Ponte Nova,; Brazil,
 Kibuye,; Rwanda,
 El Kef,; Tunisia,
 Guaxupé,; Brazil,
 Goianésia,; Brazil,
 Ciudad de Huajuapam de León,; Mexico,
 Ratnapura,; Sri Lanka,
 Capanema,; Brazil,
 Moyobamba,; Peru,
 Leribe,; Lesotho,
 Autlán de Navarro,; Mexico,
 Itamaraju,; Brazil,
 Mtsensk,; Russia,
 Badulla,; Sri Lanka,
 Campo Belo,; Brazil,
 Montana,; United States,
 Itaberaba,; Brazil,
 Buri Ram,; Thailand,
 Hämeenlinna,; Finland,
 Lamía,; Greece,
 Meru,; Kenya,
 Rosso,; Mauritania,
 Breves,; Brazil,
 Progreso,; Mexico,
 Mandeville,; Jamaica,
 Busia,; Uganda,
 Nacaome,; Honduras,
 Boosaaso,; Somalia,
 New Amsterdam,; Guyana,
 Berat,; Albania,
 Kanye,; Botswana,
 Choma,; Zambia,
 Leopoldina,; Brazil,
 Njombe,; Tanzania,
 Kokkola,; Finland,
 Aweil,; South Sudan,
 Mikkeli,; Finland,
 Middelburg,; Netherlands,
 Östersund,; Sweden,
 Mahdia,; Tunisia,
 Santiago,; Panama,
 Trujillo Alto,; Puerto Rico,
 Nevers,; France,
 Gbarnga,; Liberia,
 Jalapa,; Guatemala,
 Coyhaique,; Chile,
 Wajir,; Kenya,
 Buta,; Congo, 
 Puttalam,; Sri Lanka,
 Komotiní,; Greece,
 Liberia,,; Costa Rica,
 Sololá,; Guatemala,
 Dédougou,; Burkina Faso,
 Cametá,; Brazil,
 Inverness,; United Kingdom,
 Leiria,; Portugal,
 Iganga,; Uganda,
 Itanagar,; India,
 Piripiri,; Brazil,
 Si Sa Ket,; Thailand,
 Linden,; Guyana,
 Kabale,; Uganda,
 Trollhättan,; Sweden,
 Camocim,; Brazil,
 Cobija,; Bolivia,
 Umm al Qaywayn,; United Arab Emirates,
 Huancavelica,; Peru,
 Bluefields,; Nicaragua,
 Aracati,; Brazil,
 Atar,; Mauritania,
 Pärnu,; Estonia,
 Chitré,; Panama,
 Inhumas,; Brazil,
 Belleville,; Canada,
 Phatthalung,; Thailand,
 Araranguá,; Brazil,
 Oyem,; Gabon,
 Vichy,; France,
 Bilwi,; Nicaragua,
 Franceville,; Gabon,
 Ventspils,; Latvia,
 Santo Domingo Tehuantepec,; Mexico,
 Canindé,; Brazil,
 Fort Portal,; Uganda,
 Montemorelos,; Mexico,
 Cabo San Lucas,; Mexico,
 Dieppe,; France,
 Charlottetown,; Canada,
 Mercedes,; Uruguay,
 Mansa,; Zambia,
 Lovech,; Bulgaria,
 Salgueiro,; Brazil,
 Sidi Bouzid,; Tunisia,
 Penedo,; Brazil,
 Castro,; Brazil,
 Miercurea-Ciuc,; Romania,
 Tizimín,; Mexico,
 Brumado,; Brazil,
 Lindi,; Tanzania,
 Artigas,; Uruguay,
 Chiquimula,; Guatemala,
 Victoriaville,; Canada,
 Jaguaquara,; Brazil,
 Grande Prairie,; Canada,
 Lusambo,; Congo, 
 Faro,; Portugal,
 Saurimo,; Angola,
 Garça,; Brazil,
 Villarrica,; Paraguay,
 Mityana,; Uganda,
 Palmeira dos Índios,; Brazil,
 Bastia,; France,
 Frutal,; Brazil,
 Chapadinha,; Brazil,
 Bom Jesus da Lapa,; Brazil,
 Yambio,; South Sudan,
 Bilecik,; Turkey,
 Bozoum,; Central African Republic,
 Inongo,; Congo, 
 Ali Sabieh,; Djibouti,
 Kaya,; Burkina Faso,
 Salamá,; Guatemala,
 Ciudad Constitución,; Mexico,
 Daman,; India,
 Laguna,; Brazil,
 Mochudi,; Botswana,
 Goroka,; Papua New Guinea,
 Perth,; United Kingdom,
 Salgótarján,; Hungary,
 Zacatecoluca,; El Salvador,
 Tozeur,; Tunisia,
 Russas,; Brazil,
 Antigua Guatemala,,; Guatemala,
 Roi Et,; Thailand,
 Upper Hutt,; New Zealand,
 Xam Nua,; Laos,
 Mineiros,; Brazil,
 Pinheiro,; Brazil,
 Dún Dealgan,; Ireland,
 Joaçaba,; Brazil,
 Caloundra,; Australia,
 Phrae,; Thailand,
 Kérkyra,; Greece,
 Ruyigi,; Burundi,
 Hà Giang,; Vietnam,
 Chur,; Switzerland,
 Razgrad,; Bulgaria,
 Tenkodogo,; Burkina Faso,
 Salekhard,; Russia,
 Remanso,; Brazil,
 Nanuque,; Brazil,
 Camargo,; Mexico,
 Penticton,; Canada,
 Juticalpa,; Honduras,
 Kasulu,; Tanzania,
 Diamantina,; Brazil,
 San Vicente,; El Salvador,
 ‘Ataq,; Yemen,
 Šibenik,; Croatia,
 Rayong,; Thailand,
 Dubrovnik,; Croatia,
 Rosário do Sul,; Brazil,
 Retalhuleu,; Guatemala,
 Nueva Rosita,; Mexico,
 Drogheda,; Ireland,
 Cristalina,; Brazil,
 San José,; Uruguay,
 Falun,; Sweden,
 Tuyên Quang,; Vietnam,
 Dover,; United Kingdom,
 São Francisco do Sul,; Brazil,
 Zacapa,; Guatemala,
 Kahama,; Tanzania,
 Paphos,; Cyprus,
 Beja,; Portugal,
 Ulaangom,; Mongolia,
 Phichit,; Thailand,
 Oriximiná,; Brazil,
 Barreiros,; Brazil,
 Santa Rosa de Copán,; Honduras,
 Xique-Xique,; Brazil,
 Göyçay,; Azerbaijan,
 La Barca,; Mexico,
 Pánuco,; Mexico,
 Loei,; Thailand,
 Shumerlya,; Russia,
 Karlskrona,; Sweden,
 Luebo,; Congo, 
 Talas,; Kyrgyzstan,
 Jacarèzinho,; Brazil,
 La Asunción,; Venezuela,
 Samut Songkhram,; Thailand,
 Kalmar,; Sweden,
 Taibao,; Taiwan,
 Itapecuru Mirim,; Brazil,
 Ölgiy,; Mongolia,
 Sinop,; Turkey,
 Viborg,; Denmark,
 Januária,; Brazil,
 Rovaniemi,; Finland,
 Adjumani,; Uganda,
 Port-de-Paix,; Haiti,
 Osório,; Brazil,
 Satun,; Thailand,
 Bragança,; Portugal,
 Bouar,; Central African Republic,
 Goba,; Ethiopia,
 Gisborne,; New Zealand,
 Babati,; Tanzania,
 Sibut,; Central African Republic,
 Karonga,; Malawi,
 Szekszárd,; Hungary,
 Morrinhos,; Brazil,
 Coroatá,; Brazil,
 Ahuachapán,; El Salvador,
 Bodø,; Norway,
 Owando,; Congo, 
 Aosta,; Italy,
 Durazno,; Uruguay,
 Kakata,; Liberia,
 Ocotal,; Nicaragua,
 Fada Ngourma,; Burkina Faso,
 Jacmel,; Haiti,
 Prachuap Khiri Khan,; Thailand,
 Castelo Branco,; Portugal,
 Cananea,; Mexico,
 Campbell River,; Canada,
 Choybalsan,; Mongolia,
 Sumbe,; Angola,
 Kampong Speu,; Cambodia,
 Koh Kong,; Cambodia,
 Kotovsk,; Russia,
 Cradock,; South Africa,
 Bangassou,; Central African Republic,
 Fribourg,; Switzerland,
 Courtenay,; Canada,
 Capitão Poço,; Brazil,
 Harper,; Liberia,
 Orangeville,; Canada,
 Maués,; Brazil,
 Tenosique,; Mexico,
 Artvin,; Turkey,
 Parras de la Fuente,; Mexico,
 Florida,; United States,
 Paranaíba,; Brazil,
 Moose Jaw,; Canada,
 Bocaiúva,; Brazil,
 Guarda,; Portugal,
 Boende,; Congo, 
 Rumbek,; South Sudan,
 Mamoudzou,; Mayotte
 Ciudad Sabinas Hidalgo,; Mexico,
 Rivas,; Nicaragua,
 Petatlán,; Mexico,
 São Luís Gonzaga,; Brazil,
 Campo Maior,; Brazil,
 Masindi,; Uganda,
 Barra do Bugres,; Brazil,
 Neuchâtel,; Switzerland,
 Krabi,; Thailand,
 Tucano,; Brazil,
 Kouvola,; Finland,
 Tena,; Ecuador,
 Dumfries,; United Kingdom,
 Diffa,; Niger,
 Jérémie,; Haiti,
 Arendal,; Norway,
 Pallisa,; Uganda,
 Ticul,; Mexico,
 Hovd,; Mongolia,
 Am Timan,; Chad,
 Huatabampo,; Mexico,
 Nebbi,; Uganda,
 Presidente Dutra,; Brazil,
 Blenheim,; New Zealand,
 Ometepec,; Mexico,
 Novo Horizonte,; Brazil,
 Khorugh,; Tajikistan,
 Savanna-la-Mar,; Jamaica,
 Iturama,; Brazil,
 Bafatá,; Guinea-Bissau,
 Stung Treng,; Cambodia,
 Doba,; Chad,
 Jinotepe,; Nicaragua,
 Swakopmund,; Namibia,
 Hamar,; Norway,
 Santarém,; Portugal,
 Almenara,; Brazil,
 Mytilíni,; Greece,
 Chalatenango,; El Salvador,
 San Fernando,; Mexico,
 Tunceli,; Turkey,
 Boaco,; Nicaragua,
 Bria,; Central African Republic,
 Trípoli,; Greece,
 Penonomé,; Panama,
 Kisii,; Kenya,
 Pilar,; Paraguay,
 Brandon,; Canada,
 Ubaitaba,; Brazil,
 Ouésso,; Congo, 
 Hillerød,; Denmark,
 Iporá,; Brazil,
 Escuinapa,; Mexico,
 Caxito,; Angola,
 Popondetta,; Papua New Guinea,
 Arvayheer,; Mongolia,
 Mouila,; Gabon,
 Guaranda,; Ecuador,
 Santa Cruz,; Brazil,
 Mongo,; Chad,
 Mörön,; Mongolia,
 Treinta y Tres,; Uruguay,
 Óbidos,; Brazil,
 Nyköping,; Sweden,
 Niquelândia,; Brazil,
 Silvassa,; India,
 Conceição do Araguaia,; Brazil,
 Sensuntepeque,; El Salvador,
 Siliana,; Tunisia,
 Bregenz,; Austria,
 Rocha,; Uruguay,
 Nola,; Central African Republic,
 La Unión,; El Salvador,
 Bor,; South Sudan,
 Miracema,; Brazil,
 Ipu,; Brazil,
 Champotón,; Mexico,
 Voinjama,; Liberia,
 Brockville,; Canada,
 Wete,; Tanzania,
 Dongola,; Sudan,
 Tralee,; Ireland,
 Canavieiras,; Brazil,
 Viseu,; Portugal,
 Rawson,; Argentina,
 Alenquer,; Brazil,
 Bayanhongor,; Mongolia,
 Mendi,; Papua New Guinea,
 Sena Madureira,; Brazil,
 Levittown,; Puerto Rico,
 Tuxpan,; Mexico,
 Chachapoyas,; Peru,
 Granja,; Brazil,
 Pimenta Bueno,; Brazil,
 Zwedru,; Liberia,
 Lapa,; Brazil,
 Cataño,; Puerto Rico,
 Nueva Gerona,; Cuba,
 Ati,; Chad,
 São Lourenço do Sul,; Brazil,
 Lambaréné,; Gabon,
 Rehoboth,; Namibia,
 Colinas,; Brazil,
 Wewak,; Papua New Guinea,
 San Marcos,; Guatemala,
 Katima Mulilo,; Namibia,
 Puyo,; Ecuador,
 Moyale,; Kenya,
 Covilhã,; Portugal,
 Pires do Rio,; Brazil,
 Otjiwarongo,; Namibia,
 Felipe Carrillo Puerto,; Mexico,
 Rouyn-Noranda,; Canada,
 Ranong,; Thailand,
 Ciudad Altamirano,; Mexico,
 Lamu,; Kenya,
 Rolim de Moura,; Brazil,
 San Pedro Pochutla,; Mexico,
 Tbeng Meanchey,; Cambodia,
 Fatick,; Senegal,
 Sühbaatar,; Mongolia,
 Quthing,; Lesotho,
 Svay Rieng,; Cambodia,
 Koulikoro,; Mali,
 Paraíso,; Mexico,
 Iguape,; Brazil,
 Macas,; Ecuador,
 Pijijiapan,; Mexico,
 Kibaha,; Tanzania,
 Santa Cruz del Quiché,; Guatemala,
 Itambé,; Brazil,
 Santa Maria da Vitória,; Brazil,
 Gjirokastër,; Albania,
 Zug,; Switzerland,
 Magdalena de Kino,; Mexico,
 Fray Bentos,; Uruguay,
 Whitehorse,; Canada,
 Nova Cruz,; Brazil,
 Sibiti,; Congo, 
 Tecax,; Mexico,
 Madingou,; Congo, 
 Bella Unión,; Uruguay,
 Frontera,; Mexico,
 Visby,; Sweden,
 Moyo,; Uganda,
 Uthai Thani,; Thailand,
 Tadjourah,; Djibouti,
 San José del Guaviare,; Colombia,
 Itaberaí,; Brazil,
 Ojinaga,; Mexico,
 Nkhata Bay,; Malawi,
 Mocoa,; Colombia,
